"Tests by Day","5873","2020-04-29 00:00:00","5873","","","",""
"Tests by Day","5017","2020-04-28 00:00:00","5017","","","",""
"Tests by Day","3996","2020-04-27 00:00:00","3996","","","",""
"Tests by Day","682","2020-04-26 00:00:00","682","","","",""
"Tests by Day","916","2020-04-25 00:00:00","916","","","",""
"Tests by Day","2584","2020-04-24 00:00:00","2584","","","",""
"Tests by Day","2145","2020-04-23 00:00:00","2145","","","",""
"Tests by Day","2032","2020-04-22 00:00:00","2032","","","",""
"Tests by Day","1985","2020-04-21 00:00:00","1985","","","",""
"Tests by Day","2199","2020-04-20 00:00:00","2199","","","",""
"Tests by Day","714","2020-04-19 00:00:00","714","","","",""
"Tests by Day","732","2020-04-18 00:00:00","732","","","",""
"Tests by Day","2009","2020-04-17 00:00:00","2009","","","",""
"Tests by Day","1834","2020-04-16 00:00:00","1834","","","",""
"Tests by Day","1797","2020-04-15 00:00:00","1797","","","",""
"Tests by Day","1751","2020-04-14 00:00:00","1751","","","",""
"Tests by Day","1855","2020-04-13 00:00:00","1855","","","",""
"Tests by Day","676","2020-04-12 00:00:00","676","","","",""
"Tests by Day","654","2020-04-11 00:00:00","654","","","",""
"Tests by Day","1589","2020-04-10 00:00:00","1589","","","",""
"Tests by Day","1740","2020-04-09 00:00:00","1740","","","",""
"Tests by Day","1575","2020-04-08 00:00:00","1575","","","",""
"Tests by Day","1752","2020-04-07 00:00:00","1752","","","",""
"Tests by Day","2218","2020-04-06 00:00:00","2218","","","",""
"Tests by Day","676","2020-04-05 00:00:00","676","","","",""
"Tests by Day","896","2020-04-04 00:00:00","896","","","",""
"Tests by Day","1877","2020-04-03 00:00:00","1877","","","",""
"Tests by Day","2009","2020-04-02 00:00:00","2009","","","",""
"Tests by Day","1967","2020-04-01 00:00:00","1967","","","",""
"Tests by Day","1929","2020-03-31 00:00:00","1929","","","",""
"Tests by Day","2058","2020-03-30 00:00:00","2058","","","",""
"Tests by Day","613","2020-03-29 00:00:00","613","","","",""
"Tests by Day","1032","2020-03-28 00:00:00","1032","","","",""
"Tests by Day","2080","2020-03-27 00:00:00","2080","","","",""
"Tests by Day","2119","2020-03-26 00:00:00","2119","","","",""
"Tests by Day","2410","2020-03-25 00:00:00","2410","","","",""
"Tests by Day","2278","2020-03-24 00:00:00","2278","","","",""
"Tests by Day","2241","2020-03-23 00:00:00","2241","","","",""
"Tests by Day","591","2020-03-22 00:00:00","591","","","",""
"Tests by Day","680","2020-03-21 00:00:00","680","","","",""
"Tests by Day","1714","2020-03-20 00:00:00","1714","","","",""
"Tests by Day","1511","2020-03-19 00:00:00","1511","","","",""
"Tests by Day","1322","2020-03-18 00:00:00","1322","","","",""
"Tests by Day","1251","2020-03-17 00:00:00","1251","","","",""
"Tests by Day","940","2020-03-16 00:00:00","940","","","",""
"Tests by Day","257","2020-03-15 00:00:00","257","","","",""
"Tests by Day","214","2020-03-14 00:00:00","214","","","",""
"Tests by Day","410","2020-03-13 00:00:00","410","","","",""
"Tests by Day","296","2020-03-12 00:00:00","296","","","",""
"Tests by Day","97","2020-03-11 00:00:00","97","","","",""
"Tests by Day","45","2020-03-10 00:00:00","45","","","",""
"Tests by Day","44","2020-03-09 00:00:00","44","","","",""
"Tests by Day","7","2020-03-08 00:00:00","7","","","",""
"Tests by Day","4","2020-03-07 00:00:00","4","","","",""
"Tests by Day","20","2020-03-06 00:00:00","20","","","",""
