"Tests by Day","10809","2020-05-18 00:00:00","2020-05-17 00:00:00","10809","10809","","","","",""
"Tests by Day","3808","2020-05-17 00:00:00","2020-05-16 00:00:00","3808","3808","","","","",""
"Tests by Day","11907","2020-05-16 00:00:00","2020-05-15 00:00:00","11907","11907","","","","",""
"Tests by Day","11736","2020-05-15 00:00:00","2020-05-14 00:00:00","11736","11736","","","","",""
"Tests by Day","9396","2020-05-14 00:00:00","2020-05-13 00:00:00","9396","9396","","","","",""
"Tests by Day","9692","2020-05-13 00:00:00","2020-05-12 00:00:00","9692","9692","","","","",""
"Tests by Day","10258","2020-05-12 00:00:00","2020-05-11 00:00:00","10258","10258","","","","",""
"Tests by Day","10330","2020-05-11 00:00:00","2020-05-10 00:00:00","10330","10330","","","","",""
"Tests by Day","2079","2020-05-10 00:00:00","2020-05-09 00:00:00","2079","2079","","","","",""
"Tests by Day","10022","2020-05-09 00:00:00","2020-05-08 00:00:00","10022","10022","","","","",""
"Tests by Day","10771","2020-05-08 00:00:00","2020-05-07 00:00:00","10771","10771","","","","",""
"Tests by Day","10038","2020-05-07 00:00:00","2020-05-06 00:00:00","10038","10038","","","","",""
"Tests by Day","8633","2020-05-06 00:00:00","2020-05-05 00:00:00","8633","8633","","","","",""
"Tests by Day","8667","2020-05-05 00:00:00","2020-05-04 00:00:00","8667","8667","","","","",""
"Tests by Day","8531","2020-05-04 00:00:00","2020-05-03 00:00:00","8531","8531","","","","",""
"Tests by Day","1535","2020-05-03 00:00:00","2020-05-02 00:00:00","1535","1535","","","","",""
"Tests by Day","5536","2020-05-02 00:00:00","2020-05-01 00:00:00","5536","5536","","","","",""
"Tests by Day","7528","2020-05-01 00:00:00","2020-04-30 00:00:00","7528","7528","","","","",""
"Tests by Day","6341","2020-04-30 00:00:00","2020-04-29 00:00:00","6341","6341","","","","",""
"Tests by Day","5755","2020-04-29 00:00:00","2020-04-28 00:00:00","5755","5755","","","","",""
"Tests by Day","4915","2020-04-28 00:00:00","2020-04-27 00:00:00","4915","4915","","","","",""
"Tests by Day","3898","2020-04-27 00:00:00","2020-04-26 00:00:00","3898","3898","","","","",""
"Tests by Day","668","2020-04-26 00:00:00","2020-04-25 00:00:00","668","668","","","","",""
"Tests by Day","893","2020-04-25 00:00:00","2020-04-24 00:00:00","893","893","","","","",""
"Tests by Day","2530","2020-04-24 00:00:00","2020-04-23 00:00:00","2530","2530","","","","",""
"Tests by Day","2088","2020-04-23 00:00:00","2020-04-22 00:00:00","2088","2088","","","","",""
"Tests by Day","1969","2020-04-22 00:00:00","2020-04-21 00:00:00","1969","1969","","","","",""
"Tests by Day","1928","2020-04-21 00:00:00","2020-04-20 00:00:00","1928","1928","","","","",""
"Tests by Day","2133","2020-04-20 00:00:00","2020-04-19 00:00:00","2133","2133","","","","",""
"Tests by Day","687","2020-04-19 00:00:00","2020-04-18 00:00:00","687","687","","","","",""
"Tests by Day","713","2020-04-18 00:00:00","2020-04-17 00:00:00","713","713","","","","",""
"Tests by Day","1964","2020-04-17 00:00:00","2020-04-16 00:00:00","1964","1964","","","","",""
"Tests by Day","1791","2020-04-16 00:00:00","2020-04-15 00:00:00","1791","1791","","","","",""
"Tests by Day","1739","2020-04-15 00:00:00","2020-04-14 00:00:00","1739","1739","","","","",""
"Tests by Day","1701","2020-04-14 00:00:00","2020-04-13 00:00:00","1701","1701","","","","",""
"Tests by Day","1812","2020-04-13 00:00:00","2020-04-12 00:00:00","1812","1812","","","","",""
